SLP_values,mean,mean_se,mean_ci_lower,mean_ci_upper,obs_ci_lower,obs_ci_upper
900,1.7239407968779403,0.011990760267442143,1.7004360894971764,1.7474455042587043,1.5350318695662701,1.9128497241896105
901,1.7095655817347168,0.011889900795623276,1.6862585826158818,1.732872580853552,1.520681152104014,1.8984500113654197
902,1.6951903665914951,0.0117890476892623,1.6720810632567957,1.7182996699261945,1.5063302293215943,1.884050503861396
903,1.6808151514482734,0.011688201113134672,1.6579035310969181,1.7037267717996287,1.491979101139771,1.869651201756776
904,1.66643993630505,0.011587361237741267,1.6437259858020254,1.6891538868080744,1.477627767479933,1.855252105130167
905,1.6520647211618282,0.011486528239558681,1.6295484270261853,1.6745810152974712,1.4632762282641059,1.8408532140595506
906,1.6376895060186065,0.01138570230130288,1.61537085441123,1.660008157625983,1.4489244834149417,1.8264545286222713
907,1.623314290875383,0.011284883612206762,1.6011932675862166,1.6454353141645495,1.4345725328557268,1.8120560488950392
908,1.6089390757321613,0.011184072368312706,1.58701566616686,1.6308624852974627,1.420220376510387,1.7976577749539357
909,1.5945638605889396,0.011083268772781027,1.572838049754916,1.6162896714229633,1.4058680143034785,1.7832597068744007
910,1.5801886454457161,0.010982473036215218,1.5586604179375505,1.6017168729538818,1.391515446160195,1.7688618447312372
911,1.5658134303024944,0.010881685377005264,1.5444827702866715,1.5871440903183174,1.377162672006374,1.7544641885986147
912,1.551438215159271,0.010780906021689934,1.5303051063582063,1.5725713239603356,1.362809691768485,1.7400667385500568
913,1.5370630000160492,0.010680135205339602,1.5161274256913653,1.5579985743407332,1.3484565053736457,1.7256694946584528
914,1.5226877848728275,0.010579373171960746,1.5019497278078366,1.5434258419378184,1.3341031127496101,1.711272456996045
915,1.508312569729604,0.01047862017492356,1.4877720122109532,1.5288531272482548,1.3197495138247752,1.6968756256344328
916,1.4939373545863823,0.010377876477414439,1.473594278384812,1.5142804307879527,1.3053957085281878,1.682479000644577
917,1.4795621394431606,0.010277142352914694,1.4594165257933227,1.4997077530929985,1.2910416967895346,1.6680825820967866
918,1.4651869242999371,0.010176418085707677,1.4452387538792222,1.485135094720652,1.2766874785391484,1.6536863700607258
919,1.4508117091567154,0.010075703971415988,1.431060962063024,1.470562456250407,1.262333053708016,1.6392903646054149
920,1.4364364940134937,0.009975000317570995,1.4168831497418926,1.4559898382850949,1.2479784222277663,1.624894565799221
921,1.4220612788702702,0.009874307444217,1.402705316288464,1.4414172414520765,1.233623584030679,1.6104989737098614
922,1.4076860637270485,0.009773625684552346,1.388527461049595,1.426844666404502,1.2192685390496898,1.5961035884044072
923,1.3933108485838268,0.009672955385610325,1.3743495833450168,1.4122721138226368,1.2049132872183805,1.581708409949273
924,1.3789356334406033,0.009572296908982631,1.3601716824659231,1.3976995844152835,1.190557828470987,1.5673134384102196
925,1.3645604182973816,0.009471650631588615,1.345993757673467,1.3831270789212962,1.1762021627424042,1.552918673852359
926,1.35018520315416,0.009371016946493704,1.331815808197146,1.3685545981111737,1.1618462899681765,1.5385241163401433
927,1.3358099880109364,0.00927039626378049,1.3176378332331002,1.3539821427887726,1.1474902100845057,1.5241297659373672
928,1.3214347728677147,0.009169789011476914,1.3034598319422979,1.3394097137931316,1.1331339230282549,1.5097356227071745
929,1.307059557724493,0.009069195636545412,1.2892818034485856,1.3248373120004004,1.118777428736941,1.495341686712045
930,1.2926843425812695,0.008968616605938184,1.2751037468366258,1.3102649383259133,1.1044207271487405,1.4809479580137985
931,1.2783091274380478,0.008868052407723488,1.2609256611496935,1.295692593726402,1.0900638182024949,1.4665544366736007
932,1.263933912294826,0.008767503552288678,1.2467475453873078,1.2811202792023444,1.0757067018377022,1.45216112275195
933,1.2495586971516026,0.008666970573626236,1.2325693985027162,1.266547995800489,1.0613493779945224,1.4377680163086828
934,1.235183482008381,0.008566454030709313,1.2183912194002036,1.2519757446165583,1.0469918466137849,1.423375117402977
935,1.2208082668651592,0.008465954508964289,1.2042130069321948,1.2374035267981236,1.032634107636977,1.4089824260933415
936,1.2064330517219357,0.008365472621848332,1.190034759896168,1.2228313435477034,1.0182761610062523,1.3945899424376191
937,1.192057836578714,0.008265009012540729,1.1758564770313442,1.2082591961260838,1.0039180066644353,1.3801976664929927
938,1.1776826214354923,0.008164564355757693,1.1616781570151193,1.1936870858558652,0.9895596445550123,1.3658055983159723
939,1.1633074062922688,0.008064139359701251,1.1474997984592492,1.1791150141252884,0.9752010746221383,1.3514137379623994
940,1.148932191149047,0.007963734768153756,1.1333213999057492,1.164542982392345,0.9608422968106419,1.3370220854874524
941,1.1345569760058254,0.007863351362730978,1.1191429598224671,1.1499709921891836,0.9464833110660167,1.322630640945634
942,1.120181760862602,0.007762989965307809,1.104964476598333,1.1353990451268707,0.9321241173344268,1.308239404390777
943,1.1058065457193802,0.0076626514406320425,1.090785948538242,1.1208271429005183,0.9177647155627137,1.2938483758760466
944,1.0914313305761585,0.00756233669914368,1.0766073738575157,1.1062552872948013,0.9034051056983857,1.2794575554539314
945,1.077056115432935,0.007462046700018329,1.062428750675943,1.0916834801899271,0.8890452876896248,1.2650669431762454
946,1.0626809002897133,0.007361782454456104,1.048250077011337,1.0771117235680896,0.8746852614852922,1.2506765390941343
947,1.0483056851464898,0.007261545029238989,1.0340713507725516,1.062540019520428,0.860325027034918,1.2362863432580617
948,1.033930470003268,0.00716133555058253,1.019892569751943,1.0479683702545932,0.8459645842887142,1.221896355717822
949,1.0195552548600464,0.007061155208310693,1.005713731617175,1.0333967781029179,0.831603933197565,1.2075065765225277
950,1.005180039716823,0.006961005260385418,0.9915348339023445,1.0188252455313012,0.817243073713032,1.1931170057206137
951,0.9908048245736012,0.0068608870378266545,0.9773558739983437,1.0042537751488587,0.8028820057873604,1.1787276433598421
952,0.9764296094303795,0.006760801950062319,0.9631768491423606,0.9896823697183984,0.7885207293734693,1.1643384894872897
953,0.962054394287156,0.006660751490752341,0.9489977564064691,0.9751110321678429,0.7741592444249576,1.1499495441493544
954,0.9476791791439343,0.006560737244136248,0.9348185926851912,0.9605397656026774,0.7597975508961107,1.135560807391758
955,0.9333039640007126,0.006460760891959853,0.920639354681908,0.9459685733195171,0.7454356487418895,1.1211722792595358
956,0.9189287488574891,0.006360824221042698,0.9064600388940318,0.9313974588209464,0.7310735379179375,1.1067839597970406
957,0.9045535337142674,0.0062609291315565245,0.892280641596783,0.9168264258317518,0.7167112183805865,1.0923958490479482
958,0.8901783185710457,0.006161077646093031,0.8781011588254048,0.9022554783166865,0.7023486900868464,1.078007947055245
959,0.8758031034278222,0.006061271919609393,0.8639215863556732,0.8876846204999712,0.6879859529944117,1.0636202538612327
960,0.8614278882846005,0.005961514250351813,0.8497419196824891,0.8731138568867118,0.6736230070616671,1.0492327695075339
961,0.8470526731413788,0.005861807091869747,0.8355621539963174,0.8585431922864402,0.6592598522476779,1.0348454940350797
962,0.8326774579981553,0.00576215306624921,0.8213822841572517,0.8439726318390589,0.6448964885121958,1.0204584274841146
963,0.8183022428549336,0.005662554978710619,0.8072023046664043,0.8294021810434629,0.6305329158156651,1.006071569894202
964,0.8039270277117119,0.005563015833736198,0.7930222096342825,0.8148318457891413,0.6161691341192121,0.9916849213042116
