SLP_values,mean,mean_se,mean_ci_lower,mean_ci_upper,obs_ci_lower,obs_ci_upper
900,5.1936878690169195,0.031672275721289195,5.131607070233291,5.255768667800548,4.582325321743549,5.80505041629029
901,5.1509958447580715,0.031406191684456713,5.0894365970526,5.212555092463543,4.539686038187758,5.762305651328385
902,5.1083038204992235,0.031140120248171047,5.047266099173589,5.169341541824858,4.49704631170641,5.719561329292037
903,5.065611796240383,0.0308740617382053,5.005095575957717,5.126128016523048,4.454406142185816,5.6768174502949496
904,5.022919771981535,0.03060801649164345,4.962925026744252,5.082914517218817,4.41176552951319,5.6340740144498795
905,4.980227747722687,0.030341984857374833,4.920754450849344,5.039701044596029,4.369124473576692,5.591331021868681
906,4.937535723463846,0.030075967196614935,4.878583847564981,4.996487599362711,4.326482974265411,5.5485884726622805
907,4.894843699204998,0.02980996388345337,4.836413216157896,4.953274182252099,4.283841031469342,5.505846366940654
908,4.85215167494615,0.029543975305431975,4.794242555868477,4.910060794023822,4.241198645079432,5.463104704812867
909,4.809459650687309,0.0292780018641539,4.7520718659095476,4.86684743546507,4.198555814987557,5.4203634863870604
910,4.766767626428461,0.02901204397592608,4.709901145465092,4.82363410739183,4.155912541086505,5.3776227117704165
911,4.72407560216962,0.028746102072437302,4.667730393688971,4.780420810650269,4.113268823270025,5.334882381069215
912,4.681383577910772,0.02848017660147389,4.625559609703465,4.737207546118079,4.070624661432772,5.292142494388772
913,4.638691553651924,0.02821426802767604,4.58338879259784,4.693994314706008,4.027980055470356,5.249403051833492
914,4.595999529393083,0.027948376833336664,4.541217941426761,4.650781117359405,3.9853350052793255,5.206664053506841
915,4.553307505134235,0.027682503519246247,4.4990470552086155,4.607567955059855,3.9426895107571442,5.163925499511326
916,4.510615480875394,0.027416648605586628,4.45687613292381,4.564354828826978,3.9000435718022435,5.121187389948545
917,4.467923456616546,0.027150812632877018,4.414705173512858,4.5211417397202345,3.8573971883139655,5.0784497249191265
918,4.425231432357698,0.026884996162975686,4.372534175874469,4.477928688840928,3.814750360192615,5.035712504522781
919,4.382539408098857,0.026619199780141503,4.330363138863445,4.434715677334269,3.772103087339438,4.992975728858276
920,4.339847383840009,0.02635342409215919,4.288192061288455,4.391502706391564,3.729455369656603,4.950239398023416
921,4.297155359581161,0.026087669731533213,4.246020941909732,4.348289777252591,3.6868072070472433,4.907503512115079
922,4.2544633353223205,0.025821937356754525,4.203849779436577,4.305076891208064,3.6441585994154377,4.864768071229203
923,4.2117713110634725,0.025556227653646357,4.1616785725246945,4.26186404960225,3.6015095466661897,4.822033075460755
924,4.1690792868046245,0.025290541336794026,4.119507319773433,4.218651253835816,3.5588600487054705,4.779298524903778
925,4.126387262545784,0.025024879151065264,4.077336019722785,4.175438505368782,3.5162101054402006,4.7365644196513665
926,4.083695238286936,0.02475924187322783,4.035164670850196,4.132225805723675,3.473559716778228,4.6938307597956435
927,4.041003214028095,0.024493630313671754,3.992993271567233,4.0890131564889565,3.4309088826283793,4.65109754542781
928,3.9983111897692467,0.024228045318244025,3.950821820215939,4.045800559322554,3.3882576029004037,4.60836477663809
929,3.9556191655103987,0.02396248777020442,3.9086503150650453,4.002588015955752,3.345605877505024,4.565632453515773
930,3.912927141251558,0.023696958592312023,3.866478754305859,3.9593755281972567,3.302953706353916,4.522900576149199
931,3.87023511699271,0.023431458749052534,3.824307136047878,3.9161630979375417,3.2603010893596887,4.480169144625731
932,3.827543092733869,0.023165989249017464,3.7821354583141775,3.8729507271535604,3.217648026435934,4.437438159031804
933,3.784851068475021,0.02290055114744795,3.7399637190363664,3.8297384179136755,3.1749945174971717,4.394707619452871
934,3.742159044216173,0.022635145548955758,3.697791916049303,3.786526172383043,3.1323405624588996,4.351977525973446
935,3.699467019957332,0.022369773610436617,3.6556200470853644,3.7433139928292998,3.089686161237574,4.30924787867709
936,3.656774995698484,0.02210443654419194,3.613448109768305,3.700101881628663,3.0470313137505878,4.26651867764638
937,3.614082971439636,0.02183913562127567,3.571276101606741,3.6568898412725312,3.0043760199163154,4.223789922962957
938,3.571390947180795,0.021573872175086706,3.5291040199870847,3.6136778743745057,2.9617202796540916,4.181061614707499
939,3.528698922921947,0.021308647605226685,3.486931862165964,3.57046598367793,2.9190640928841907,4.138333752959704
940,3.486006898663099,0.021043463381647268,3.4447596252621357,3.5272541720640627,2.8764074595278712,4.095606337798327
941,3.4433148744042583,0.020778321049112,3.4025873062477174,3.484042442560799,2.8337503795073555,4.052879369301161
942,3.4006228501454103,0.020513222232000927,3.3604149019387486,3.440830798352072,2.791092852745807,4.010152847545013
943,3.3579308258865694,0.020248168639489035,3.318242408985091,3.397619242788048,2.7484348791673843,3.9674267726057546
944,3.3152388016277214,0.0199831620711328,3.2760698238594217,3.354407779396021,2.705776458697181,3.924701144558262
945,3.2725467773688734,0.019718204422902674,3.2338971428454575,3.3111964118922894,2.6631175912612797,3.8819759634764672
946,3.2298547531100326,0.019453297693703263,3.1917243620251554,3.2679851441949097,2.620458276786731,3.839251229433334
947,3.1871627288511846,0.01918844399242806,3.14955147726486,3.2247739804375093,2.5777985152015312,3.796526942500838
948,3.1444707045923437,0.018923645545599804,3.10737848420038,3.1815629249843074,2.5351383064346744,3.753803102750013
949,3.1017786803334957,0.018658904705654462,3.065205378220695,3.1383519824462964,2.4924776504160953,3.711079710250896
950,3.0590866560746477,0.018394223959931955,3.023032154450378,3.0951411576989174,2.4498165470767215,3.668356765072574
951,3.016394631815807,0.01812960594044497,2.980858807730431,3.0519304559011826,2.4071549963484506,3.625634267283163
952,2.973702607556959,0.01786505343450576,2.938685332597432,3.008719882516486,2.364492998164131,3.5829122169497865
953,2.931010583298111,0.017600569396298477,2.8965117232608937,2.965509443335328,2.321830552457606,3.5401906141386155
954,2.88831855903927,0.01733615695949754,2.8543379735785113,2.9222991445000286,2.279167659163692,3.497469458914848
955,2.845626534780422,0.017071819451042566,2.812164077029139,2.8790889925317047,2.2365043182181568,3.454748751342687
956,2.802934510521574,0.016807560406195174,2.7699900266833213,2.8358789943598266,2.1938405295577663,3.4120284914853816
957,2.760242486262733,0.016543383585018206,2.727815815170969,2.792669157354497,2.1511762931202605,3.3693086794052056
958,2.717550462003885,0.016279292990435543,2.685641434645941,2.749459489361829,2.1085116088443345,3.3265893151634356
959,2.674858437745044,0.01601529288805178,2.643466876747243,2.7062499987428454,2.0658464766696896,3.2838703988203988
960,2.632166413486196,0.015751387827933255,2.6012921325562806,2.663040694416112,2.0231808965369753,3.241151930435417
961,2.589474389227348,0.015487582668579684,2.55911719254992,2.6198315859047763,1.9805148683878406,3.1984339100668557
962,2.5467823649685073,0.01522388260334596,2.5169420465486776,2.576622683388337,1.9378483921649141,3.1557163377721005
963,2.5040903407096593,0.014960293189609467,2.4747666836595292,2.5334139977597894,1.8951814678117813,3.1129992136075373
964,2.4613983164508184,0.014696820381018983,2.432591092212748,2.4902055406888888,1.8525140952730372,3.0702825376285996
965,2.4187062921919704,0.014433470563209587,2.3904152596918413,2.4469973246920995,1.809846274494229,3.027566309889712
