SLP_values,mean,mean_se,mean_ci_lower,mean_ci_upper,obs_ci_lower,obs_ci_upper
900,5.183847409465102,0.008166751651268598,5.167840796837955,5.199854022092249,4.5828916359383705,5.784803182991833
901,5.141336235487913,0.008098122220396518,5.125464134691381,5.1572083362844445,4.5403840296753275,5.742288441300498
902,5.098825061510723,0.008029495968662717,5.083087466313781,5.114562656707665,4.49787639316217,5.6997737298592765
903,5.056313887533541,0.007960872978283982,5.040710791544021,5.071916983523061,4.455368726398372,5.657259048668711
904,5.013802713556352,0.00789225333433246,4.998334110215347,5.029271316897357,4.4128610293833885,5.614744397729315
905,4.97129153957917,0.00782363712486087,4.955957422155192,4.986625657003147,4.370353302116709,5.57222977704163
906,4.92878036560198,0.007755024441033693,4.913580727184862,4.943980004019099,4.327845544597799,5.529715186606162
907,4.886269191624791,0.007686415377265806,4.871204025119314,4.901334358130268,4.2853377568261495,5.487200626423433
908,4.843758017647609,0.007617810031368384,4.828827315766848,4.85868871952837,4.242829938801256,5.444686096493962
909,4.80124684367042,0.007549208504702586,4.786450598928782,4.816043088412057,4.200322090522597,5.402171596818242
910,4.75873566969323,0.007480610902342167,4.744073874399185,4.7733974649872755,4.157814211989679,5.3596571273967815
911,4.716224495716048,0.007412017333244534,4.701697141964509,4.7307518494675875,4.11530630320201,5.317142688230087
912,4.673713321738859,0.007343427910431346,4.65932040140322,4.688106242074498,4.072798364159082,5.274628279318636
913,4.631202147761677,0.007274842751180116,4.616943652485472,4.6454606430378815,4.0302903948604225,5.232113900662931
914,4.588690973784487,0.007206261977225243,4.574566894972655,4.60281505259632,3.9877823953055316,5.189599552263443
915,4.546179799807298,0.007137685714972059,4.532190128617024,4.560169470997573,3.9452743654939377,5.1470852341206585
916,4.503668625830116,0.007069114095722347,4.489813353161239,4.517523898498993,3.902766305425173,5.104570946235059
917,4.461157451852927,0.007000547255913094,4.447436568337872,4.474878335367982,3.8602582150987517,5.062056688607101
918,4.418646277875737,0.006931985337370199,4.405059773868956,4.432232781882519,3.8177500945142167,5.019542461237259
919,4.376135103898555,0.006863428487575867,4.362682969465437,4.389587238331673,3.7752419436711127,4.977028264125998
920,4.333623929921366,0.00679487685995326,4.3203061548265955,4.346941705016136,3.7327337625689694,4.9345140972737624
921,4.291112755944184,0.006726330614168452,4.2779293296395045,4.304296182248863,3.6902255512073485,4.8919999606810185
922,4.2486015819669944,0.006657789916449737,4.235552493578347,4.261650670355642,3.6477173095857887,4.8494858543482
923,4.206090407989805,0.00658925493992829,4.193175646303797,4.219005169675813,3.6052090377038537,4.806971778275757
924,4.163579234012623,0.006520725864999172,4.150798787462293,4.176359680562953,3.5627007355611124,4.764457732464134
925,4.121068060035434,0.006452202879705257,4.108421916685261,4.1337142033856065,3.5201924031571163,4.721943716913751
926,4.078556886058244,0.006383686180146667,4.066045033588357,4.091068738528132,3.4776840404914435,4.679429731625045
927,4.036045712081062,0.006315175970915118,4.023668137770596,4.048423286391529,3.4351756475636765,4.636915776598448
928,3.993534538103873,0.006246672465557941,3.9812912288134137,4.005777847394333,3.3926672243733806,4.594401851834365
929,3.9510233641266908,0.006178175887072725,3.9389143062797567,3.963132421973625,3.3501587709201543,4.551887957333228
930,3.9085121901495015,0.006109686468433689,3.896537369712988,3.920487010586015,3.3076502872035727,4.50937409309543
931,3.866001016172312,0.0060412044531556585,3.8541604186358316,3.8778416137087928,3.265141773223236,4.466860259121389
932,3.82348984219513,0.005972730095894442,3.8117834525491765,3.8351962318410835,3.2226332289787494,4.42434645541151
933,3.7809786682179407,0.005904263663090131,3.7694064709307926,3.792550865505089,3.1801246544697017,4.38183268196618
934,3.7384674942407514,0.0058358054336553125,3.7270294732340257,3.749905515247477,3.137616049695707,4.339318938785796
935,3.6959563202635692,0.005767355699710633,3.6846524588863354,3.707260181640803,3.0951074146563844,4.296805225870754
936,3.65344514628638,0.005698914767374258,3.642275427287723,3.6646148652850368,3.0525987493513353,4.2542915432214246
937,3.6109339723091978,0.005630482957608447,3.599898377809126,3.6219695668092697,3.0100900537801953,4.2117778908382
938,3.5684227983320085,0.005562060607126614,3.5575213097905807,3.5793242868734363,2.9675813279425762,4.169264268721441
939,3.525911624354819,0.0054936480693698764,3.5151442225393597,3.5366790261702787,2.9250725718381143,4.1267506768715245
940,3.483400450377637,0.005425245715554507,3.4727671153278954,3.4940337854273786,2.882563785466451,4.084237115288823
941,3.4408892764004477,0.0053568539358005126,3.4303899873915493,3.451388565409346,2.8400549688272125,4.041723583973683
942,3.3983781024232584,0.0052884731403469816,3.3880128379262713,3.4087433669202456,2.7975461219200493,3.9992100829264676
943,3.3558669284460763,0.005220103760860527,3.345635666086013,3.3660981908061394,2.7550372447446163,3.956696612147536
944,3.313355754468887,0.005151746251848811,3.303258470979938,3.3234530379578358,2.7125283373005518,3.914183171637222
945,3.270844580491705,0.0050834010921858895,3.26088125166948,3.2808079093139297,2.6700193995875283,3.8716697613958813
946,3.2283334065145155,0.005015068786760847,3.218504007165056,3.238162805863975,2.627510431605194,3.829156381423837
947,3.185822232537326,0.004946749868263023,3.1761267364226162,3.195517728652036,2.585001433353221,3.7866430317214315
948,3.143311058560144,0.00487844489911347,3.1337494383398377,3.1528726787804504,2.542492404831289,3.744129712288999
949,3.1007998845829547,0.004810154473561282,3.091372111751994,3.1102276574139154,2.499983346039059,3.7016164231268505
950,3.0582887106057655,0.0047418792199577665,3.048994755427541,3.06758266578399,2.4574742569762185,3.6591031642353125
951,3.0157775366285833,0.0046736198032276514,3.006617368063251,3.0249377051939157,2.4149651376424592,3.6165899356147073
952,2.973266362651394,0.004605376927558197,2.9642399482789212,2.9822927770238667,2.3724559880374567,3.5740767372653313
953,2.930755188674212,0.004537151339327299,2.9218624946116867,2.939647882736737,2.3299468081609187,3.531563569187505
954,2.8882440146970225,0.004468943830296069,2.879485005509702,2.897003023884343,2.2874375980125303,3.4890504313815147
955,2.8457328407198332,0.004400755241096048,2.837107479325359,2.8543582021143075,2.244928357592001,3.4465373238476653
956,2.803221666742651,0.004332586465038635,2.7947299143077986,2.8117134191775035,2.202419086899046,3.404024246586256
957,2.7607104927654618,0.0042644384522873575,2.7523523085947126,2.769068676936211,2.159909785933364,3.3615111995975595
958,2.7181993187882725,0.004196312214429279,2.7099746602034234,2.7264239773731216,2.117400454694678,3.318998182881867
959,2.6756881448110903,0.004128208829492319,2.667596967021034,2.6837793226011466,2.0748910931827167,3.276485196439464
960,2.633176970833901,0.004060129447460727,2.6252192267935905,2.6411347148742115,2.0323817013971923,3.2339722402706097
961,2.5906657968567117,0.0039920752963448275,2.5828414371142348,2.5984901565991887,1.9898722793378423,3.191459314375581
962,2.5481546228795295,0.003924047688872418,2.540463595410061,2.555845650348998,1.947362827004409,3.14894641875465
963,2.5056434489023403,0.0038560480298763964,2.498085698927622,2.5132011988770584,1.904853344396618,3.1064335534080625
964,2.463132274925158,0.0037880778244633417,2.455707744716963,2.470556805133353,1.8623438315142278,3.0639207183360884
965,2.420621100947969,0.0037201386870623,2.4133297296138325,2.427912472282105,1.8198342883569727,3.021407913538965
966,2.3781099269707795,0.003652232351463114,2.3709516502200567,2.3852682037215023,1.7773247149246139,2.978895139016945
967,2.3355987529935973,0.003584360681973762,2.3285735028816488,2.342624003105546,1.7348151112169161,2.9363823947702787
968,2.293087579016408,0.0035165256858432493,2.2861952836644415,2.2999798743683746,1.6923054772336277,2.893869680799188
969,2.2505764050392187,0.0034487295271186315,2.243816988326967,2.2573358217514703,1.6497958129745232,2.851356997103914
970,2.2080652310620366,0.003380974542133358,2.2014386122900835,2.2146918498339896,1.6072861184393812,2.808844343684692
971,2.1655540570848473,0.0033132632568508885,2.1590601506029556,2.172047963566739,1.5647763936279642,2.7663317205417304
972,2.123042883107665,0.003245598406326804,2.1166815979049627,2.1294041683103675,1.5222666385400672,2.723819127675263
973,2.080531709130476,0.003177982956595811,2.074302948382743,2.0867604698782087,1.479756853175461,2.6813065650854906
974,2.0380205351532865,0.0031104201293370797,2.0319241957218988,2.0441168745846743,1.4372470375339432,2.63879403277263
975,1.9955093611761043,0.0030429134297358085,1.9895453330523694,2.0014733892998393,1.3947371916153157,2.596281530736893
976,1.952998187198915,0.00297546667802853,1.9471663528865801,1.95883002151125,1.3522273154193631,2.553769058978467
977,1.9104870132217258,0.002908084045305147,1.9047872470493143,1.9161867793941372,1.3097174089458967,2.511256617497555
978,1.8679758392445436,0.0028407700942469786,1.8624080065978472,1.87354367189124,1.2672074721947313,2.468744206294356
979,1.8254646652673543,0.00277352982559898,1.8200286217308392,1.8309007088038693,1.2246975051656663,2.426231825369042
980,1.782953491290172,0.002706368731329219,1.777649081684196,1.7882579008961481,1.182187507858533,2.3837194747218113
981,1.7404423173129828,0.002639292855606314,1.7352693746114958,1.7456152600144699,1.1396774802731398,2.341207154352826
982,1.6979311433357935,0.0025723088649503233,1.6928894874465465,1.7029727992250405,1.09716742240932,2.2986948642622673
983,1.6554199693586114,0.0025054241291763237,1.6505094057447167,1.660330532972506,1.054657334266912,2.2561826044503106
984,1.612908795381422,0.002438646815085403,1.608129113499283,1.6176884772635611,1.0121472158457374,2.2136703749171067
985,1.5703976214042328,0.0023719859952584113,1.5657485929282386,1.575046649880227,0.9696370671456439,2.1711581756628218
986,1.5278864474270506,0.0023054517748127635,1.523367824225834,1.5324050706282673,0.9271268881664835,2.128646006687618
987,1.4853752734498613,0.0022390554395954753,1.4809867852720993,1.4897637616276234,0.8846166789080915,2.0861338679916313
988,1.4428640994726791,0.0021728096300613125,1.438605451292099,1.4471227476532593,0.8421064393703361,2.0436217595750223
989,1.4003529254954898,0.0021067285460402412,1.3962237944545355,1.4044820565364442,0.7995961695530621,2.0011096814379177
990,1.3578417515183006,0.002040828188805702,1.3538417833973524,1.3618417196392487,0.7570858694561398,1.9585976335804614
